id,bank_uuid,protocol_action,protocol_bean_name,consent_supported
10147,b8a8c9bd-5751-4db6-879f-9654fa657552,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10148,b8a8c9bd-5751-4db6-879f-9654fa657552,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10149,b8a8c9bd-5751-4db6-879f-9654fa657552,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10150,b8a8c9bd-5751-4db6-879f-9654fa657552,DELETE_CONSENT,xs2aDeleteConsent,true
10151,b8a8c9bd-5751-4db6-879f-9654fa657552,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10160,b5505b90-078d-48e5-9298-5ed46a40bca0,LIST_ACCOUNTS,xs2aListAccounts,true
10161,b5505b90-078d-48e5-9298-5ed46a40bca0,LIST_TRANSACTIONS,xs2aListTransactions,true
10162,b5505b90-078d-48e5-9298-5ed46a40bca0,AUTHORIZATION,,true
10163,b5505b90-078d-48e5-9298-5ed46a40bca0,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10164,b5505b90-078d-48e5-9298-5ed46a40bca0,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10165,b5505b90-078d-48e5-9298-5ed46a40bca0,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10166,b5505b90-078d-48e5-9298-5ed46a40bca0,DELETE_CONSENT,xs2aDeleteConsent,true
10167,b5505b90-078d-48e5-9298-5ed46a40bca0,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10176,8faea9c3-6050-4baa-a9e2-e693849080af,LIST_ACCOUNTS,xs2aListAccounts,true
10177,8faea9c3-6050-4baa-a9e2-e693849080af,LIST_TRANSACTIONS,xs2aListTransactions,true
10178,8faea9c3-6050-4baa-a9e2-e693849080af,AUTHORIZATION,,true
10179,8faea9c3-6050-4baa-a9e2-e693849080af,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10180,8faea9c3-6050-4baa-a9e2-e693849080af,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10181,8faea9c3-6050-4baa-a9e2-e693849080af,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10182,8faea9c3-6050-4baa-a9e2-e693849080af,DELETE_CONSENT,xs2aDeleteConsent,true
10183,8faea9c3-6050-4baa-a9e2-e693849080af,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10192,37aff58e-fdfb-473e-ba73-552ef44ca13f,LIST_ACCOUNTS,xs2aListAccounts,true
10193,37aff58e-fdfb-473e-ba73-552ef44ca13f,LIST_TRANSACTIONS,xs2aListTransactions,true
10194,37aff58e-fdfb-473e-ba73-552ef44ca13f,AUTHORIZATION,,true
10195,37aff58e-fdfb-473e-ba73-552ef44ca13f,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10196,37aff58e-fdfb-473e-ba73-552ef44ca13f,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10197,37aff58e-fdfb-473e-ba73-552ef44ca13f,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10198,37aff58e-fdfb-473e-ba73-552ef44ca13f,DELETE_CONSENT,xs2aDeleteConsent,true
10199,37aff58e-fdfb-473e-ba73-552ef44ca13f,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10208,a91d2dcb-44a9-4827-8e4b-2317fb59abc0,LIST_ACCOUNTS,xs2aListAccounts,true
10209,a91d2dcb-44a9-4827-8e4b-2317fb59abc0,LIST_TRANSACTIONS,xs2aListTransactions,true
10210,a91d2dcb-44a9-4827-8e4b-2317fb59abc0,AUTHORIZATION,,true
10211,a91d2dcb-44a9-4827-8e4b-2317fb59abc0,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10212,a91d2dcb-44a9-4827-8e4b-2317fb59abc0,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10213,a91d2dcb-44a9-4827-8e4b-2317fb59abc0,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10214,a91d2dcb-44a9-4827-8e4b-2317fb59abc0,DELETE_CONSENT,xs2aDeleteConsent,true
10215,a91d2dcb-44a9-4827-8e4b-2317fb59abc0,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10224,45fd72ad-be0f-4ece-9de3-8a3fa5bcd25c,LIST_ACCOUNTS,xs2aListAccounts,true
10225,45fd72ad-be0f-4ece-9de3-8a3fa5bcd25c,LIST_TRANSACTIONS,xs2aListTransactions,true
10226,45fd72ad-be0f-4ece-9de3-8a3fa5bcd25c,AUTHORIZATION,,true
10227,45fd72ad-be0f-4ece-9de3-8a3fa5bcd25c,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10228,45fd72ad-be0f-4ece-9de3-8a3fa5bcd25c,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10229,45fd72ad-be0f-4ece-9de3-8a3fa5bcd25c,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10230,45fd72ad-be0f-4ece-9de3-8a3fa5bcd25c,DELETE_CONSENT,xs2aDeleteConsent,true
10231,45fd72ad-be0f-4ece-9de3-8a3fa5bcd25c,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10240,2c144751-5b31-4c47-b1ad-d684b7fb48c9,LIST_ACCOUNTS,xs2aListAccounts,true
10241,2c144751-5b31-4c47-b1ad-d684b7fb48c9,LIST_TRANSACTIONS,xs2aListTransactions,true
10242,2c144751-5b31-4c47-b1ad-d684b7fb48c9,AUTHORIZATION,,true
10243,2c144751-5b31-4c47-b1ad-d684b7fb48c9,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10244,2c144751-5b31-4c47-b1ad-d684b7fb48c9,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10245,2c144751-5b31-4c47-b1ad-d684b7fb48c9,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10246,2c144751-5b31-4c47-b1ad-d684b7fb48c9,DELETE_CONSENT,xs2aDeleteConsent,true
10247,2c144751-5b31-4c47-b1ad-d684b7fb48c9,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10256,9fbba2d3-3e31-4bf5-a422-021695151c70,LIST_ACCOUNTS,xs2aListAccounts,true
10257,9fbba2d3-3e31-4bf5-a422-021695151c70,LIST_TRANSACTIONS,xs2aListTransactions,true
10258,9fbba2d3-3e31-4bf5-a422-021695151c70,AUTHORIZATION,,true
10259,9fbba2d3-3e31-4bf5-a422-021695151c70,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10260,9fbba2d3-3e31-4bf5-a422-021695151c70,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10261,9fbba2d3-3e31-4bf5-a422-021695151c70,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10262,9fbba2d3-3e31-4bf5-a422-021695151c70,DELETE_CONSENT,xs2aDeleteConsent,true
10263,9fbba2d3-3e31-4bf5-a422-021695151c70,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10272,b6de6dc7-ef3c-46ee-993d-b176a9e289cc,LIST_ACCOUNTS,xs2aListAccounts,true
10273,b6de6dc7-ef3c-46ee-993d-b176a9e289cc,LIST_TRANSACTIONS,xs2aListTransactions,true
10274,b6de6dc7-ef3c-46ee-993d-b176a9e289cc,AUTHORIZATION,,true
10275,b6de6dc7-ef3c-46ee-993d-b176a9e289cc,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10276,b6de6dc7-ef3c-46ee-993d-b176a9e289cc,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10277,b6de6dc7-ef3c-46ee-993d-b176a9e289cc,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10278,b6de6dc7-ef3c-46ee-993d-b176a9e289cc,DELETE_CONSENT,xs2aDeleteConsent,true
10279,b6de6dc7-ef3c-46ee-993d-b176a9e289cc,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10288,104f02c3-8428-431f-8c48-3f90b940298b,LIST_ACCOUNTS,xs2aListAccounts,true
10289,104f02c3-8428-431f-8c48-3f90b940298b,LIST_TRANSACTIONS,xs2aListTransactions,true
10290,104f02c3-8428-431f-8c48-3f90b940298b,AUTHORIZATION,,true
10291,104f02c3-8428-431f-8c48-3f90b940298b,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10292,104f02c3-8428-431f-8c48-3f90b940298b,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10293,104f02c3-8428-431f-8c48-3f90b940298b,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10294,104f02c3-8428-431f-8c48-3f90b940298b,DELETE_CONSENT,xs2aDeleteConsent,true
10295,104f02c3-8428-431f-8c48-3f90b940298b,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10304,152583c8-be96-469e-b530-8beea2810908,LIST_ACCOUNTS,xs2aListAccounts,true
10305,152583c8-be96-469e-b530-8beea2810908,LIST_TRANSACTIONS,xs2aListTransactions,true
10306,152583c8-be96-469e-b530-8beea2810908,AUTHORIZATION,,true
10307,152583c8-be96-469e-b530-8beea2810908,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10308,152583c8-be96-469e-b530-8beea2810908,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10309,152583c8-be96-469e-b530-8beea2810908,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10310,152583c8-be96-469e-b530-8beea2810908,DELETE_CONSENT,xs2aDeleteConsent,true
10311,152583c8-be96-469e-b530-8beea2810908,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10320,5abf53a1-7df9-4096-b6b9-8bd1e9fe9280,LIST_ACCOUNTS,xs2aListAccounts,true
10321,5abf53a1-7df9-4096-b6b9-8bd1e9fe9280,LIST_TRANSACTIONS,xs2aListTransactions,true
10322,5abf53a1-7df9-4096-b6b9-8bd1e9fe9280,AUTHORIZATION,,true
10323,5abf53a1-7df9-4096-b6b9-8bd1e9fe9280,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10324,5abf53a1-7df9-4096-b6b9-8bd1e9fe9280,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10325,5abf53a1-7df9-4096-b6b9-8bd1e9fe9280,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10326,5abf53a1-7df9-4096-b6b9-8bd1e9fe9280,DELETE_CONSENT,xs2aDeleteConsent,true
10327,5abf53a1-7df9-4096-b6b9-8bd1e9fe9280,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10336,43ac594d-4880-4d2e-992b-ee9894026abd,LIST_ACCOUNTS,xs2aListAccounts,true
10337,43ac594d-4880-4d2e-992b-ee9894026abd,LIST_TRANSACTIONS,xs2aListTransactions,true
10338,43ac594d-4880-4d2e-992b-ee9894026abd,AUTHORIZATION,,true
10339,43ac594d-4880-4d2e-992b-ee9894026abd,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10340,43ac594d-4880-4d2e-992b-ee9894026abd,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10341,43ac594d-4880-4d2e-992b-ee9894026abd,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10342,43ac594d-4880-4d2e-992b-ee9894026abd,DELETE_CONSENT,xs2aDeleteConsent,true
10343,43ac594d-4880-4d2e-992b-ee9894026abd,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10352,076f170a-7570-49cb-9ed5-925c30d161ea,LIST_ACCOUNTS,xs2aListAccounts,true
10353,076f170a-7570-49cb-9ed5-925c30d161ea,LIST_TRANSACTIONS,xs2aListTransactions,true
10354,076f170a-7570-49cb-9ed5-925c30d161ea,AUTHORIZATION,,true
10355,076f170a-7570-49cb-9ed5-925c30d161ea,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10356,076f170a-7570-49cb-9ed5-925c30d161ea,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10357,076f170a-7570-49cb-9ed5-925c30d161ea,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10358,076f170a-7570-49cb-9ed5-925c30d161ea,DELETE_CONSENT,xs2aDeleteConsent,true
10359,076f170a-7570-49cb-9ed5-925c30d161ea,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10368,e9dbac84-8476-49ae-b921-ec1bf6331e68,LIST_ACCOUNTS,xs2aListAccounts,true
10369,e9dbac84-8476-49ae-b921-ec1bf6331e68,LIST_TRANSACTIONS,xs2aListTransactions,true
10370,e9dbac84-8476-49ae-b921-ec1bf6331e68,AUTHORIZATION,,true
10371,e9dbac84-8476-49ae-b921-ec1bf6331e68,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10372,e9dbac84-8476-49ae-b921-ec1bf6331e68,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10373,e9dbac84-8476-49ae-b921-ec1bf6331e68,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10374,e9dbac84-8476-49ae-b921-ec1bf6331e68,DELETE_CONSENT,xs2aDeleteConsent,true
10375,e9dbac84-8476-49ae-b921-ec1bf6331e68,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10384,7d63a148-2491-4802-bf4f-4a15cbf66cd3,LIST_ACCOUNTS,xs2aListAccounts,true
10385,7d63a148-2491-4802-bf4f-4a15cbf66cd3,LIST_TRANSACTIONS,xs2aListTransactions,true
10386,7d63a148-2491-4802-bf4f-4a15cbf66cd3,AUTHORIZATION,,true
10387,7d63a148-2491-4802-bf4f-4a15cbf66cd3,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10388,7d63a148-2491-4802-bf4f-4a15cbf66cd3,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10389,7d63a148-2491-4802-bf4f-4a15cbf66cd3,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10390,7d63a148-2491-4802-bf4f-4a15cbf66cd3,DELETE_CONSENT,xs2aDeleteConsent,true
10391,7d63a148-2491-4802-bf4f-4a15cbf66cd3,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10400,ad58cbc8-3326-48e4-a4ae-7a8366667005,LIST_ACCOUNTS,xs2aListAccounts,true
10401,ad58cbc8-3326-48e4-a4ae-7a8366667005,LIST_TRANSACTIONS,xs2aListTransactions,true
10402,ad58cbc8-3326-48e4-a4ae-7a8366667005,AUTHORIZATION,,true
10403,ad58cbc8-3326-48e4-a4ae-7a8366667005,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10404,ad58cbc8-3326-48e4-a4ae-7a8366667005,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10405,ad58cbc8-3326-48e4-a4ae-7a8366667005,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10406,ad58cbc8-3326-48e4-a4ae-7a8366667005,DELETE_CONSENT,xs2aDeleteConsent,true
10407,ad58cbc8-3326-48e4-a4ae-7a8366667005,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10416,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,LIST_ACCOUNTS,xs2aListAccounts,true
10417,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,LIST_TRANSACTIONS,xs2aListTransactions,true
10418,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,AUTHORIZATION,,true
10419,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10420,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10421,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10422,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,DELETE_CONSENT,xs2aDeleteConsent,true
10423,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10432,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,LIST_ACCOUNTS,xs2aListAccounts,true
10433,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,LIST_TRANSACTIONS,xs2aListTransactions,true
10434,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,AUTHORIZATION,,true
10435,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10436,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10437,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10438,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,DELETE_CONSENT,xs2aDeleteConsent,true
10439,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10448,9df5d918-4f76-4314-b86c-eeb07c6af32b,LIST_ACCOUNTS,xs2aListAccounts,true
10449,9df5d918-4f76-4314-b86c-eeb07c6af32b,LIST_TRANSACTIONS,xs2aListTransactions,true
10450,9df5d918-4f76-4314-b86c-eeb07c6af32b,AUTHORIZATION,,true
10451,9df5d918-4f76-4314-b86c-eeb07c6af32b,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10452,9df5d918-4f76-4314-b86c-eeb07c6af32b,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10453,9df5d918-4f76-4314-b86c-eeb07c6af32b,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10454,9df5d918-4f76-4314-b86c-eeb07c6af32b,DELETE_CONSENT,xs2aDeleteConsent,true
10455,9df5d918-4f76-4314-b86c-eeb07c6af32b,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10464,64a07b05-c4aa-4a08-918e-1dd4aaa21812,LIST_ACCOUNTS,xs2aListAccounts,true
10465,64a07b05-c4aa-4a08-918e-1dd4aaa21812,LIST_TRANSACTIONS,xs2aListTransactions,true
10466,64a07b05-c4aa-4a08-918e-1dd4aaa21812,AUTHORIZATION,,true
10467,64a07b05-c4aa-4a08-918e-1dd4aaa21812,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10468,64a07b05-c4aa-4a08-918e-1dd4aaa21812,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10469,64a07b05-c4aa-4a08-918e-1dd4aaa21812,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10470,64a07b05-c4aa-4a08-918e-1dd4aaa21812,DELETE_CONSENT,xs2aDeleteConsent,true
10471,64a07b05-c4aa-4a08-918e-1dd4aaa21812,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10480,c97501b0-6ab3-40be-bc64-ac32745d6f0e,LIST_ACCOUNTS,xs2aListAccounts,true
10481,c97501b0-6ab3-40be-bc64-ac32745d6f0e,LIST_TRANSACTIONS,xs2aListTransactions,true
10482,c97501b0-6ab3-40be-bc64-ac32745d6f0e,AUTHORIZATION,,true
10483,c97501b0-6ab3-40be-bc64-ac32745d6f0e,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
