profile_uuid,bank_uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches,protocol_type,is_sandbox
50b615c6-7f69-4580-b44d-79b3d61e86b5,67da79aa-f3a5-4f4d-b201-f97a1cced9d2,Bundesbank eh Dresden,MARKDEF1850,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,85000000,,,XS2A,false
39589a95-b15d-4673-9783-2e4e3c8b33ca,0b2567b9-8642-40b5-8939-f83d72ca7a32,Bundesbank,MARKDEF1860,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,86000000,,,XS2A,false
5a9f6e53-e2bc-440c-a6f0-c09652f76e81,31bc07a2-3a9b-4b1f-8a52-17e9ec033ac2,Bundesbank,MARKDEF1870,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,87000000,,,XS2A,false
6d98eca8-8657-405e-a1a6-883e7594514d,291b2ca1-b35f-463e-ad94-2a1a26c09304,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,35640064,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
9aacfee2-aff9-4855-bdd2-c4581ac63034,dd624199-d071-4c95-b554-179b0e92c707,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36040039,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
b94717ab-cddb-4a4f-9d7e-8e3d01d5e5b7,ae6b6c01-a2f1-4a2f-90b8-884e8f5d7ecc,Commerzbank CC,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36040060,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
65a232ba-f74a-4014-9d53-ad749cf39307,ac0d9af8-d44d-4b9e-bb30-1ddcf5413598,Commerzbank CC,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36040061,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
4bd0f9be-4175-4c23-8ebb-dc418a7c76bc,51289e1d-3874-4740-9556-ad8bd11ef2d7,Commerzbank Gf Web-K,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36040085,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
91e1f689-ac3f-4d77-9b4f-9efa6704cad0,8c7fa779-31ea-454a-b74c-b1942c121e4d,Commerzbank vormals Dresdner Bank,DRESDEFF360,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36080080,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
587ac2af-248a-49d0-917a-a183cfb91e70,cd90371a-97c3-487c-a461-1e363e033ecb,Commerzbank vormals Dresdner Bank PCC DCC-ITGK  2,DRESDEFFI66,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36080085,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
a1d914e2-ec3d-4d59-8bab-3c3e83d6b46b,8e922aa7-fd62-40ed-a7a3-d10a16f3491f,Commerzbank vormals Dresdner Bank ITGK,DRESDEFFI17,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36089321,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
4250ce05-039a-463b-99f5-d6851f96543b,6c826afa-fc47-409a-9996-f5e93cf0dc85,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36240045,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
97fa17d8-2b3f-47a3-88a3-bdb5d08cc4b5,77a711e3-b5e6-4266-af31-73754169ece6,Commerzbank vormals Dresdner Bank,DRESDEFF362,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36280071,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
245da6de-f304-40b9-952c-25c91418c141,a1a4e630-2e73-4b61-a563-f1c77f3604f5,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36540046,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
3c41174b-e86b-4744-80bb-8cf1710e806e,ee6e58dc-9caa-4398-abd6-6571a1e24b83,Commerzbank vormals Dresdner Bank,DRESDEFF365,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36580072,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
4258d0c8-5fb6-4d98-86e5-56158960f642,bb64e4e3-4d35-487b-8712-b97a7d55ad50,Commerzbank CC SP,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040037,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
8fe0cd5f-0059-4aeb-9609-a6155c973f02,6140db51-b125-45b2-ac27-cbefa566574c,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040044,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
b7c22123-2ac1-4bce-9f14-befce1f7da29,f27f49c2-0cf8-4354-8081-de52c1de048c,Commerzbank GF-K48,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040048,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
dc70699b-7263-4376-a788-0a44c0a7eff3,1bb54b1e-14c6-461d-a5d1-c8094c372c10,Commerzbank CC,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040060,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
aa7ac6be-9b35-4bd5-b6f0-65462f9daa60,9268207c-afe6-4043-ada3-224bae208d21,Commerzbank CC,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040061,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
77c3111e-5df2-4542-ad7a-201ef55cd10c,efbb982a-80d6-4ceb-826a-feac9bda8615,Commerzbank vormals Dresdner Bank,DRESDEFF370,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080040,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
c94d8c72-3a10-4771-9764-c2eb05781cc3,a24796d7-1f7f-4971-9252-41a29d40bd25,Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 1,DRESDEFFI51,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080085,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
c44cf56d-71df-4555-bd5a-50c9744fe1b7,90eb83d5-24bf-4396-957d-606aec16f354,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 4,DRESDEFFI67,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080086,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
276de271-cc81-40cf-9436-59d402fe232a,a56e8752-8637-4df2-baac-a5b3376f29dd,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 5,DRESDEFFI96,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080087,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
a7508b1f-f027-4f03-b8df-768488d6cb8c,07d286bb-b39e-445c-ae47-baecc8e4bac0,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 6,DRESDEFFI97,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080088,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
f3866a9b-e8ac-4e5f-86b4-2196048e497f,f9440da7-d86c-4ac2-b717-620376bdf62a,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 7,DRESDEFFI98,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080089,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
619b9cf3-db2f-4d0d-8c0e-fee7c16ca60e,a81abd55-c5e7-45ae-a46b-c9191d9b5125,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 8,DRESDEFFJ01,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080090,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
8ae70cc9-9b90-4942-8f2e-5925e5d17a40,4514a637-88ad-43e9-bdbe-76cbc06a5669,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 9,DRESDEFFJ02,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080091,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
