id,bank_uuid,protocol_action,protocol_bean_name,consent_supported
10079,33c911d9-a91a-4315-8fc4-fab1073db58e,LIST_TRANSACTIONS,hbciListTransactions,false
10080,33c911d9-a91a-4315-8fc4-fab1073db58e,AUTHORIZATION,,false
10081,33c911d9-a91a-4315-8fc4-fab1073db58e,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10082,33c911d9-a91a-4315-8fc4-fab1073db58e,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10083,33c911d9-a91a-4315-8fc4-fab1073db58e,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10084,6f5dc3da-c93c-46fd-8788-91d5b2ef36d2,LIST_ACCOUNTS,xs2aListAccounts,true
10085,6f5dc3da-c93c-46fd-8788-91d5b2ef36d2,LIST_TRANSACTIONS,xs2aListTransactions,true
10086,6f5dc3da-c93c-46fd-8788-91d5b2ef36d2,AUTHORIZATION,,true
10087,6f5dc3da-c93c-46fd-8788-91d5b2ef36d2,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10088,6f5dc3da-c93c-46fd-8788-91d5b2ef36d2,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10089,6f5dc3da-c93c-46fd-8788-91d5b2ef36d2,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10090,691a19a2-1535-4c1d-9233-c38e5bb86039,LIST_ACCOUNTS,hbciListAccounts,false
10091,691a19a2-1535-4c1d-9233-c38e5bb86039,LIST_TRANSACTIONS,hbciListTransactions,false
10092,691a19a2-1535-4c1d-9233-c38e5bb86039,AUTHORIZATION,,false
10093,691a19a2-1535-4c1d-9233-c38e5bb86039,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10094,691a19a2-1535-4c1d-9233-c38e5bb86039,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10095,691a19a2-1535-4c1d-9233-c38e5bb86039,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10096,46c7674a-5ccb-461a-8832-911e1ce2fb46,LIST_ACCOUNTS,xs2aListAccounts,true
