uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches
966d4a28-df67-4640-857a-c2c72edf8512,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,50640015,https://psd2.api.commerzbank.com/berlingroup,
6b2739d7-1352-43c2-b2d4-b5d7ba0fcd7f,Commerzbank vormals Dresdner Bank,DRESDEFF506,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,50680002,https://psd2.api.commerzbank.com/berlingroup,
07b4497a-4a15-4107-ac20-4d5fe3fdf0ee,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,54640035,https://psd2.api.commerzbank.com/berlingroup,
da2db649-a1c1-4044-864f-3cfd9a35e5ba,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 1,DRESDEFFJ13,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,50680085,https://psd2.api.commerzbank.com/berlingroup,
f58d7c68-3a71-4d0e-91da-dec1c14942dc,UniCredit Bank - HypoVereinsbank,HYVEDEMM436,https://api.unicredit.de/hydrogen,unicredit-adapter,73120075,,
5216475a-fae1-43a3-be28-eb658f9a662e,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,50740048,https://psd2.api.commerzbank.com/berlingroup,
4c934c87-2285-47fe-b6af-236a5b959716,Commerzbank vormals Dresdner Bank,DRESDEFF524,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,50780006,https://psd2.api.commerzbank.com/berlingroup,
d2186153-7106-4eb0-906a-0642d4832d80,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,50840005,https://psd2.api.commerzbank.com/berlingroup,
f4d14c21-96df-415c-be8e-2042b1af0889,Commerzbank vormals Dresdner Bank,DRESDEFF508,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,50880050,https://psd2.api.commerzbank.com/berlingroup,
35e86562-3348-4620-866f-137e0991d305,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 1,DRESDEFFJ14,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,50880085,https://psd2.api.commerzbank.com/berlingroup,
