uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches
8e922aa7-fd62-40ed-a7a3-d10a16f3491f,Commerzbank vormals Dresdner Bank ITGK,DRESDEFFI17,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36089321,https://psd2.api.commerzbank.com/berlingroup,
6c826afa-fc47-409a-9996-f5e93cf0dc85,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36240045,https://psd2.api.commerzbank.com/berlingroup,
77a711e3-b5e6-4266-af31-73754169ece6,Commerzbank vormals Dresdner Bank,DRESDEFF362,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36280071,https://psd2.api.commerzbank.com/berlingroup,
a1a4e630-2e73-4b61-a563-f1c77f3604f5,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36540046,https://psd2.api.commerzbank.com/berlingroup,
ee6e58dc-9caa-4398-abd6-6571a1e24b83,Commerzbank vormals Dresdner Bank,DRESDEFF365,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36580072,https://psd2.api.commerzbank.com/berlingroup,
bb64e4e3-4d35-487b-8712-b97a7d55ad50,Commerzbank CC SP,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040037,https://psd2.api.commerzbank.com/berlingroup,
6140db51-b125-45b2-ac27-cbefa566574c,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040044,https://psd2.api.commerzbank.com/berlingroup,
f27f49c2-0cf8-4354-8081-de52c1de048c,Commerzbank GF-K48,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040048,https://psd2.api.commerzbank.com/berlingroup,
1bb54b1e-14c6-461d-a5d1-c8094c372c10,Commerzbank CC,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040060,https://psd2.api.commerzbank.com/berlingroup,
9268207c-afe6-4043-ada3-224bae208d21,Commerzbank CC,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37040061,https://psd2.api.commerzbank.com/berlingroup,
efbb982a-80d6-4ceb-826a-feac9bda8615,Commerzbank vormals Dresdner Bank,DRESDEFF370,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080040,https://psd2.api.commerzbank.com/berlingroup,
a24796d7-1f7f-4971-9252-41a29d40bd25,Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 1,DRESDEFFI51,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080085,https://psd2.api.commerzbank.com/berlingroup,
90eb83d5-24bf-4396-957d-606aec16f354,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 4,DRESDEFFI67,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080086,https://psd2.api.commerzbank.com/berlingroup,
a56e8752-8637-4df2-baac-a5b3376f29dd,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 5,DRESDEFFI96,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080087,https://psd2.api.commerzbank.com/berlingroup,
07d286bb-b39e-445c-ae47-baecc8e4bac0,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 6,DRESDEFFI97,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080088,https://psd2.api.commerzbank.com/berlingroup,
f9440da7-d86c-4ac2-b717-620376bdf62a,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 7,DRESDEFFI98,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080089,https://psd2.api.commerzbank.com/berlingroup,
a81abd55-c5e7-45ae-a46b-c9191d9b5125,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 8,DRESDEFFJ01,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080090,https://psd2.api.commerzbank.com/berlingroup,
4514a637-88ad-43e9-bdbe-76cbc06a5669,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 9,DRESDEFFJ02,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080091,https://psd2.api.commerzbank.com/berlingroup,
c8fd9113-68ef-42b9-92ae-57988546492a,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 10,DRESDEFFJ03,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080092,https://psd2.api.commerzbank.com/berlingroup,
4e246d06-aed7-47ee-b3dd-73837cd49a56,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 11,DRESDEFFJ04,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080093,https://psd2.api.commerzbank.com/berlingroup,
64c7c146-ad59-4f19-8b06-92e75c59dc85,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 12,DRESDEFFJ05,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080094,https://psd2.api.commerzbank.com/berlingroup,
19c5cb19-e051-40d6-a803-b1976a70092c,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 13,DRESDEFFJ06,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080095,https://psd2.api.commerzbank.com/berlingroup,
cf150957-8ecf-4129-bee9-e670bd5c0f33,Commerzbank vormals Dresdner Bank Zw 96,DRESDEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080096,https://psd2.api.commerzbank.com/berlingroup,
b4051846-c06a-456e-9ad5-d2284b1e5107,Commerzbank vormals Dresdner Bank Zw 97,DRESDEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080097,https://psd2.api.commerzbank.com/berlingroup,
c5f8f31a-60fe-47c4-85e4-74ddff40173e,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 14,DRESDEFFJ07,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080098,https://psd2.api.commerzbank.com/berlingroup,
56e51b7c-07b3-4a22-841b-f5112bebd355,Commerzbank vormals Dresdner Bank Zw 99,DRESDEFFI36,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080099,https://psd2.api.commerzbank.com/berlingroup,
ffb3d507-9e3e-4fea-800b-cf524365a044,Commerzbank vormals Dresdner Bank ITGK I,DRESDEFFI04,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37089340,https://psd2.api.commerzbank.com/berlingroup,
aef9251a-f3cd-4d8f-9da3-53811e5f1fbf,Commerzbank vormals Dresdner Bank ITGK II,DRESDEFFI05,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37089342,https://psd2.api.commerzbank.com/berlingroup,
5cb32d84-9162-41d2-ba4f-16cc798a40b8,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37540050,https://psd2.api.commerzbank.com/berlingroup,
a7201764-acf8-42b7-9fcb-2641a486e73b,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,38040007,https://psd2.api.commerzbank.com/berlingroup,
9645138b-9b51-4722-b525-58be1ea42978,Commerzbank vormals Dresdner Bank,DRESDEFF380,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,38080055,https://psd2.api.commerzbank.com/berlingroup,
b6a23f57-ac6d-43d4-a94a-41e1588e6c83,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,38440016,https://psd2.api.commerzbank.com/berlingroup,
2970af5f-eecf-47dc-ba66-0aad3a4a47aa,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,39040013,https://psd2.api.commerzbank.com/berlingroup,
