id,action_id,protocol_action,sub_protocol_bean_name
10142,10212,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10143,10212,DENY_AUTHORIZATION,hbciDenyAuthorization
10144,10218,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10145,10218,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10146,10218,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10147,10218,DENY_AUTHORIZATION,xs2aDenyAuthorization
10148,10224,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10149,10224,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10150,10224,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10151,10224,DENY_AUTHORIZATION,hbciDenyAuthorization
10152,10230,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10153,10230,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10154,10230,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10155,10230,DENY_AUTHORIZATION,xs2aDenyAuthorization
10156,10236,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10157,10236,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10158,10236,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10159,10236,DENY_AUTHORIZATION,hbciDenyAuthorization
10160,10242,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10161,10242,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10162,10242,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10163,10242,DENY_AUTHORIZATION,xs2aDenyAuthorization
10164,10248,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10165,10248,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10166,10248,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10167,10248,DENY_AUTHORIZATION,hbciDenyAuthorization
10168,10254,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10169,10254,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10170,10254,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10171,10254,DENY_AUTHORIZATION,xs2aDenyAuthorization
